run_id,mode,bucket_ms,sequence,scheduled_at_micros,fired_at_micros,drift_micros
republish-leg,1,1000,391,1788850172822176,1788850177079340,4257164
republish-leg,1,1000,392,1788850173822176,1788850178093950,4271774
republish-leg,1,1000,393,1788850174822176,1788850179108046,4285870
republish-leg,1,1000,394,1788850175822176,1788850180121649,4299473
republish-leg,1,1000,395,1788850176822176,1788850181134799,4312623
republish-leg,1,1000,396,1788850177822176,1788850182143787,4321611
republish-leg,1,1000,397,1788850178822176,1788850183145736,4323560
republish-leg,1,1000,398,1788850179822176,1788850184158112,4335936
republish-leg,1,1000,399,1788850180822176,1788850185172041,4349865
republish-leg,1,1000,400,1788850181822176,1788850186187643,4365467
republish-leg,1,1000,401,1788850182822176,1788850187190011,4367835
republish-leg,1,1000,402,1788850183822176,1788850188202000,4379824
republish-leg,1,1000,403,1788850184822176,1788850189217223,4395047
republish-leg,1,1000,404,1788850185822176,1788850190231739,4409563
republish-leg,1,1000,405,1788850186822176,1788850191240246,4418070
republish-leg,1,1000,406,1788850187822176,1788850192241646,4419470
republish-leg,1,1000,407,1788850188822176,1788850193243580,4421404
republish-leg,1,1000,408,1788850189822176,1788850194248371,4426195
republish-leg,1,1000,409,1788850190822176,1788850195263289,4441113
republish-leg,1,1000,410,1788850191822176,1788850196267704,4445528
republish-leg,1,1000,411,1788850192822176,1788850197283063,4460887
republish-leg,1,1000,412,1788850193822176,1788850198290610,4468434
republish-leg,1,1000,413,1788850194822176,1788850199306871,4484695
republish-leg,1,1000,414,1788850195822176,1788850200309065,4486889
republish-leg,1,1000,415,1788850196822176,1788850201321252,4499076
republish-leg,1,1000,416,1788850197822176,1788850202337013,4514837
republish-leg,1,1000,417,1788850198822176,1788850203347011,4524835
republish-leg,1,1000,418,1788850199822176,1788850204361619,4539443
republish-leg,1,1000,419,1788850200822176,1788850205375891,4553715
republish-leg,1,1000,420,1788850201822176,1788850206390445,4568269
republish-leg,1,1000,421,1788850202822176,1788850207393466,4571290
republish-leg,1,1000,422,1788850203822176,1788850208408100,4585924
republish-leg,1,1000,423,1788850204822176,1788850209424507,4602331
republish-leg,1,1000,424,1788850205822176,1788850210439530,4617354
republish-leg,1,1000,425,1788850206822176,1788850211454356,4632180
republish-leg,1,1000,426,1788850207822176,1788850212458114,4635938
republish-leg,1,1000,427,1788850208822176,1788850213471836,4649660
republish-leg,1,1000,428,1788850209822176,1788850214475167,4652991
republish-leg,1,1000,429,1788850210822176,1788850215489273,4667097
republish-leg,1,1000,430,1788850211822176,1788850216503940,4681764
republish-leg,1,1000,431,1788850212822176,1788850217509176,4687000
republish-leg,1,1000,432,1788850213822176,1788850218515420,4693244
republish-leg,1,1000,433,1788850214822176,1788850219531773,4709597
republish-leg,1,1000,434,1788850215822176,1788850220547182,4725006
republish-leg,1,1000,435,1788850216822176,1788850221549641,4727465
republish-leg,1,1000,436,1788850217822176,1788850222554721,4732545
republish-leg,1,1000,437,1788850218822176,1788850223570040,4747864
republish-leg,1,1000,438,1788850219822176,1788850224572215,4750039
